"question","supplier","category","rawSpec","answer_price","error_reason"
"D4*50L规格有哪些供应商和品类？最便宜的选型是？","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"宏峰D8*60L的5种角度涂层铣刀（55°/58°/60°/65°/68°）分别是什么价？哪个最便宜？","镇江新区大港宏峰工具厂","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"直柄钻头，欧成数控直柄钻(5.2-6.1) vs 宏峰直柄钻头(6.1-7.0)，谁便宜？","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"宏峰60°黑纳米涂层D8铣刀，不同总长(60/75/100/150)的价格梯度是怎样的？每加长一档贵多少？","镇江新区大港宏峰工具厂","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"D8.0*L30规格的刀具，哪些供应商有报价？最便宜的是哪家？","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"D6*50L规格的刀具，有哪些供应商和品类可选？哪家最便宜？","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"D8*60L规格的刀具，有哪些供应商和品类可选？哪家最便宜？","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"D10*75L规格的刀具，有哪些供应商和品类可选？哪家最便宜？","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"D12*75L规格的刀具，有哪些供应商和品类可选？哪家最便宜？","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"D8*100L规格的刀具，有哪些供应商和品类可选？哪家最便宜？","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"常州市京锋工具有限公司在D6*50L规格上有3种品类可选，分别是什么？哪款最便宜？","常州市京锋工具有限公司","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"常州市京锋工具有限公司在D8*60L规格上有3种品类可选，分别是什么？哪款最便宜？","常州市京锋工具有限公司","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"常州市京锋工具有限公司在D10*75L规格上有3种品类可选，分别是什么？哪款最便宜？","常州市京锋工具有限公司","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"常州市京锋工具有限公司在D12*75L规格上有3种品类可选，分别是什么？哪款最便宜？","常州市京锋工具有限公司","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"常州市京锋工具有限公司在D8*100L规格上有3种品类可选，分别是什么？哪款最便宜？","常州市京锋工具有限公司","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"给我报个6mm的铣刀价格","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"D10左右的古铜色铣刀多少钱？","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"要一把钻头钻8mm的孔","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"最便宜的3mm铝用铣刀是哪家的？","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"有没有Φ6*75的球刀？","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"D6.35的铣刀有没有报价？","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"我需要一批刀具，D4平刀50L 50把，D6球刀75L 30把，能报个总价吗？","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"加工铝件用什么刀好？D6的","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"我要一把D6的铣刀，50L，古铜色，平刀，要10把，总价多少？","常州市岚钨合金有限公司","四刃（古铜）","D6*50L","单价¥26.7 × 10把 = ¥267.0","skipped_price_parse_failed: unsupported answer_price type: string"
"有没有4.5mm的铣刀？","常州欧成精密工具有限公司","没有直接4.5mm的品类，但以下品类可覆盖：数控直柄钻(4.2-5.1*25*50L / ¥24)","近似替代: 4.2-5.1mm范围","数控直柄钻4.2-5.1: ¥24","skipped_price_parse_failed: unsupported answer_price type: string"
"D8的铣刀，宏峰有几种涂层的？哪个最便宜？","","55º钨钢铣刀  古铜色涂层 / UA+系列（DLC七彩涂层） / 纯陶瓷铣刀 / 65°钨钢铣刀　纳米蓝涂层 / 55度定点钻 / UP+系列（黑纳米涂层） / SG系列（古铜色SP涂层） / UA系列（不涂层光刀） / 55度粗皮刀 / 55°圆棒 / SS40 系列（香槟金涂层） / 58º钨钢铣刀　纳米古铜色涂层 / SH系列（古铜色高硬涂层） / U6065 系列（纳米古铜涂层） / 60°钨钢铣刀 黑纳米涂层 / SS35 系列（香槟金涂层） / SA系列（DLC七彩涂层） / 68°钨钢铣刀　纳米古铜涂层","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"加工铝合金，要D10的刀，七彩U槽刀和AK高光刀哪个更合适？价格差多少？","","对比分析","七彩U槽铝用刀（京锋/岚钨）：适合铣U形槽，D8*60L ¥56.7~63.0，U形槽专用设计排屑好 AK铝用高光刀（唐北）：适合高光镜面加工，D10*75 ¥147.5~264，6系7系铝高光专用 建议：单纯铣槽用U槽刀，追求表面质量用AK高光刀","七彩U槽D8: ¥56.7~63 | AK高光D10: ¥147.5~264（规格不同直接比价意义不大）","skipped_price_parse_failed: unsupported answer_price type: string"
"给我报个价：D4平刀 50L 20把 + D6球刀 75L 15把，总价多少？","常州市岚钨合金有限公司(D4) + 镇江新区大港宏峰工具厂(D6)","四刃（古铜）(D4平刀) + 55º钨钢铣刀  古铜色涂层(D6球刀)","D4平刀*50L *20把 + D6球刀*75L *15把","D4: ¥12.3/把 → 小计¥246.0, D6: ¥105.0/把 → 小计¥1575.0, 总计¥1821.0","skipped_price_parse_failed: unsupported answer_price type: string"
"我需要做不锈钢M6沉头螺丝的台阶孔，用什么刀？多少钱？","","台阶钻","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"有10mm的钨钢圆棒吗？多少钱一根？","镇江新区大港宏峰工具厂","55°圆棒","10*100","单价:¥317.7","skipped_price_parse_failed: unsupported answer_price type: string"
"之前你们给我报过D6*50L的四刃古铜是¥26.7，D8*60L是多少？","常州市岚钨合金有限公司","四刃（古铜）","D8*60L","D8*60L: ¥55.6 (D6*50L是¥26.7)","skipped_price_parse_failed: unsupported answer_price type: string"
"哪种DLC涂层的刀具性价比最高？给个推荐","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"我想比较一下京锋和岚钨的七彩U槽铝用刀，D8*60L哪个便宜？差多少？","","七彩U槽铝用刀","D8*60L","京锋¥63.0 vs 岚钨¥61.2, 差价¥1.8，岚钨便宜¥1.8","skipped_price_parse_failed: unsupported answer_price type: string"
"我有一批DLC涂层的刀具要采购，天顺的DLC单刃和其他家的DLC系列（如宏峰SA/UA+系列）哪个更适合？价格对比如何？","","","","","skipped_price_parse_failed: unsupported answer_price type: undefined"
"D6*50的三刃铝用铣刀（京锋）和D6*50的铝用白刃（岚钨）都能加工铝合金，价格差多少？性能上有什么区别？","","对比: 3刃铝用铣刀 vs 铝用白刃","D6*50","京锋3刃铝用¥35.0 vs 岚钨铝用白刃¥26.7","skipped_price_parse_failed: unsupported answer_price type: string"